,logFC,logCPM,PValue,FDR,up_down
FBXL7,-4.25004432574851,2.29817595940135,1.1963712171771e-22,1.16008867708329e-20,Down
LEFTY2,-6.36519814453451,1.49425774164539,1.1967636934969e-22,1.16008867708329e-20,Down
TIE1,-3.43860582557326,3.33578918701592,1.2250492314788e-22,1.18115709323866e-20,Down
KIF2C,5.04250487184668,6.27515482079959,1.38907667762139e-22,1.33218364348477e-20,Up
ESAM,-3.06458640777992,3.8248788780618,1.51406363635354e-22,1.44436864356901e-20,Down
KLHL4,-5.70979348170952,-1.24337754288957,1.5446244766662e-22,1.46576733233114e-20,Down
KCNJ8,-4.02365103651817,1.36323274552106,1.58120847209843e-22,1.49262768334737e-20,Down
MMRN2,-3.3738436643177,3.89162029163014,1.94016117722425e-22,1.82193260548714e-20,Down
CCM2L,-3.60917104763076,0.880861517082979,2.01067088557943e-22,1.87836249051798e-20,Down
PI15,-4.82215398544057,1.89938600517977,2.36014052079514e-22,2.19347080360496e-20,Down
HOXD3,-3.87546656408842,-0.920545891374983,3.61687502045429e-22,3.34421828814312e-20,Down
SLC8A1,-3.96466985778473,2.69306914667778,3.7994866870913e-22,3.49514004940082e-20,Down
PODN,-4.53889635184204,3.49671393328693,3.87000872563598e-22,3.54194199610238e-20,Down
TPX2,5.70697904653166,7.30112194811295,5.09458877673155e-22,4.62888527405554e-20,Up
MAMDC2,-5.38817984395735,1.94046339429398,5.10897487264033e-22,4.62888527405554e-20,Down
GRASP,-3.61501067960862,2.66294686714603,6.01464829131412e-22,5.42220543461968e-20,Down
DLGAP5,6.17628366218811,5.44396019028498,6.70032292219985e-22,6.010289666033e-20,Up
UHRF1,6.40808635224801,5.88872735561012,6.89834824685896e-22,6.15728806390431e-20,Up
SKA3,5.58538821818906,4.33794042294217,7.86851924807419e-22,6.98864049471811e-20,Up
ATP1B2,-4.58311006097488,0.533691669740426,8.53317853138549e-22,7.54182396670982e-20,Down
MEF2C,-3.41819231494118,3.01874140642793,8.95915460603905e-22,7.87968573399435e-20,Down
KIF4A,5.45303382629457,5.66752504143431,1.01841742144962e-21,8.91362432462947e-20,Up
ATOH8,-4.54058928630767,1.71616927313106,1.13693968279256e-21,9.90290941099027e-20,Down
C1QTNF7,-5.08666247222367,0.226371933955654,1.32485773864122e-21,1.14842235710102e-19,Down
MMRN1,-4.77208318992936,1.78543990532391,1.37269895306378e-21,1.18419914467655e-19,Down
SYNPO2,-4.81782488390648,4.69329279159997,1.48271007683973e-21,1.27301250882954e-19,Down
ROBO4,-3.38227036030941,3.14677958631956,2.01075555864338e-21,1.71819538968437e-19,Down
TOP2A,5.7869836777263,7.93516718934769,2.1676578263397e-21,1.84353163249551e-19,Up
NKAPL,-4.03298336450523,-2.76171352399227,2.70813415599411e-21,2.29237834894713e-19,Down
PRKG1,-4.08714040714369,1.91571438972961,3.03849869536151e-21,2.56000614380224e-19,Down
RUNX1T1,-4.27834472761631,0.961739108838662,3.93049329367423e-21,3.29612995743936e-19,Down
BUB1,5.07699192956893,5.40682044764006,5.09543211925141e-21,4.25327042176403e-19,Up
NCAPG,5.38978153911911,5.20095723207953,5.18887865858571e-21,4.31131254443781e-19,Up
ADGRL4,-3.35507478169234,2.98852465899679,5.21697187838661e-21,4.314770778317e-19,Down
LEPR,-3.72428719540564,3.07592493918914,5.86758238749507e-21,4.83070823956786e-19,Down
ENPEP,-4.15160175538823,1.99038830676933,6.2755169103097e-21,5.14307135876745e-19,Down
RSPO3,-5.31294301792339,2.15336871834655,7.05224822047426e-21,5.75348576539144e-19,Down
NCAPH,5.02753318812755,5.0296983715155,7.28797875993679e-21,5.91902058746217e-19,Up
BUB1B,5.81212150316969,5.32100079649448,9.34885366570542e-21,7.55873684272057e-19,Up
ARHGAP6,-4.37412183503235,1.06593837505032,1.23245129901743e-20,9.92013255414474e-19,Down
DTL,4.61321106491424,5.72456658356392,1.63923061221455e-20,1.31357013058793e-18,Up
MCM10,6.23310698230465,4.52080240556054,1.76042472805142e-20,1.40444503746757e-18,Up
