,logFC,logCPM,PValue,FDR
AP001347.1,-2.75206927443838,6.60390812433067,2.22527569141394e-06,6.49625849528216e-05
DSG2-AS1,5.05822125641311,5.63529852006023,2.30818066251429e-06,6.68808993636526e-05
AC025165.1,-2.71025895897325,4.74090636055873,2.30867804971741e-06,6.68808993636526e-05
LINC01359,-2.2823754653774,4.51270429345998,2.35015264053023e-06,6.78225347902637e-05
AC025419.1,-3.38257780419081,3.24030989485235,2.40899852527117e-06,6.92564176789936e-05
LINC01778,-3.5372676887266,3.62510996073042,2.79632876894824e-06,8.00872796288547e-05
C1QTNF7-AS1,-2.81787396240503,3.08362362166637,2.95436775847064e-06,8.42942438558359e-05
FGF10-AS1,-3.84684491637344,2.29494430051829,3.00377236778223e-06,8.53816649353439e-05
AC011825.4,-2.56019446152088,3.42330355028529,3.06615566329207e-06,8.68284755436379e-05
AC018529.1,-2.92137172753162,3.45524068790264,3.08324886582641e-06,8.69867338601249e-05
AC016907.2,-2.01106237448865,3.28303160774531,3.11276007771003e-06,8.74928585411358e-05
AP004609.5,-2.08884445056821,6.72726860329774,3.15114028325855e-06,8.80921441628088e-05
CCND2-AS1,-3.46551934718047,2.53323782840813,3.16122295719383e-06,8.80921441628088e-05
AC068831.2,3.04678728378234,5.5661697433357,3.1690336215162e-06,8.80921441628088e-05
AC025176.1,6.17516167914314,5.96965290854129,3.27619169191611e-06,9.07373090936912e-05
AC008763.1,5.61488868560654,6.95501155582203,3.33118187294313e-06,9.19235990559233e-05
AC092807.3,-2.57810179754836,3.17366012931948,3.45597205439221e-06,9.50203807391253e-05
AC103974.1,-2.60747410822346,4.35634349227278,3.61803944644342e-06,9.91159284585459e-05
AC104083.1,-2.4210772461052,8.70560099636141,3.68533418825859e-06,0.000100594988438351
LINC01588,3.71843916316853,8.14767834855174,3.94887381035985e-06,0.000107400844892557
CKMT2-AS1,-1.29182683121085,9.17353717627673,4.12796706230531e-06,0.000111869386946561
AC104051.2,-4.11949454005686,2.43275111800616,4.16618417800754e-06,0.000112501852035411
AL022318.1,-3.30319950231935,2.79240720317529,4.25662258818611e-06,0.000114534958680695
AL162511.1,-4.07784177613088,2.45596691493112,4.42589948253368e-06,0.000118557600085188
AC107952.2,-2.30677735190515,5.57093232432618,4.43748192356941e-06,0.000118557600085188
FGF14-AS2,-2.92200639460386,6.1742463843558,4.47806559601706e-06,0.000119220612575651
AL034405.1,-2.86539735786704,2.69978250794623,5.24623971519597e-06,0.000139181819251216
AC120049.1,-2.25707302097608,5.98498631655893,5.29649495909075e-06,0.000140023770579319
NEXN-AS1,-2.34801781555213,3.86147089459772,5.45976304386264e-06,0.000143837172037092
LINC02370,-4.20709887152929,2.40421303012977,5.67087466482985e-06,0.000148880150488814
AC105942.1,-2.38549635281377,8.19874284613175,5.73140729199409e-06,0.000149948686971513
AC108488.1,-1.70708719214342,7.28468760723958,5.9495186156208e-06,0.000155118311216237
AL445231.1,3.40181757242993,6.31481922659203,6.00639574129581e-06,0.000156063086597724
Z98885.2,-2.50295281612272,3.09653135167206,6.28939370627518e-06,0.000162856526757351
DACT3-AS1,-1.83592054769216,3.97878808820004,6.61659008580167e-06,0.00017074415576364
AC114284.1,-2.84210231636274,3.86618320304892,6.93628018525634e-06,0.000178385083267766
SERTAD4-AS1,-2.51188904209111,8.33919998145372,6.9745653782119e-06,0.000178761657032746
LINC02696,-3.13167166457042,3.95044844954879,7.18396362780809e-06,0.000183506584425193
AC123912.4,-4.32650614581019,4.08174525539881,7.30738030319193e-06,0.000186030648055334
AL139220.2,-2.45965129651975,6.72727586869575,7.34016028057973e-06,0.000186238093561958
OXCT1-AS1,-2.22946460961986,4.94742760379732,7.37319883666729e-06,0.00018645069031452
TBILA,4.19313044539017,8.05538846961008,7.40032636812473e-06,0.000186512892231304
